session_type,driver_number,transcription,player_ts,duration_ms,inserted_at
race,40,"OK, I'm going to rev up to 0. Thank you.",2023-08-27 15:30:48,5514,2023-08-27 15:30:53
race,10,"Confirm P0, right? Yeah, so P1, then wait 5 seconds and P0, please. See you at the podium.",2023-08-27 15:30:30,11360,2023-08-27 15:30:41
race,23,"OK, let's just remember to switch off procedure.",2023-08-27 15:30:31,5642,2023-08-27 15:30:33
race,31,"Normal switch procedures, please.",2023-08-27 15:30:27,6112,2023-08-27 15:30:31
race,14,"OK, mate. I'm P0. P0. Driver of the day. Good job, mate.",2023-08-27 15:30:18,6794,2023-08-27 15:30:20
race,20,"So, usual procedures, Kevin. You come to a stop, go from P2 to P1, and then after a pause of a couple of seconds, go to P0, please.",2023-08-27 15:30:06,14240,2023-08-27 15:30:18
race,4,"Yep. Not our best executed race, obviously, but still some points on the board for both of us, so well done. But, you know, we need to do better. Yeah, a lot to review. But still P2 in quali, so a lot of good things, just we want to make it perfect, so just keep pushing. Sure. No worries, just your instructions when you come to stop.",2023-08-27 15:29:47,31498,2023-08-27 15:30:18
race,18,"P-0 reminder, Lance. P-0 reminder.",2023-08-27 15:30:10,6538,2023-08-27 15:30:13
race,40,"When you stop the car, you go to P1. You look at your dash and when you've got the P0 allowed message, you go to P0+.",2023-08-27 15:30:05,9994,2023-08-27 15:30:13
race,10,"Where am I supposed to go? On the main straight or not? No, no, no. Pitlane, pitlane. Are you sure? Because Fernando is there. Stay out, stay out. I'm sorry.",2023-08-27 15:30:01,13045,2023-08-27 15:30:13
race,40,"Okay, so stop at the bridge. When you come into the pitlane, you stop at the bridge.",2023-08-27 15:29:55,9141,2023-08-27 15:30:06
race,1,"Back to you, Ross. Staying out. Staying out.",2023-08-27 15:29:58,6432,2023-08-27 15:30:02
race,1,"Well, it stinks of orange and flares here, and they're going slightly fucking nuts, so I hope you're taking it all in and enjoying all your fellow countrymen and women. Yeah, they are going crazy, and yeah, the smell is an interesting one, but I guess it's OK once a year. Yeah, and I think we're going to have to hear your favourite song, Supermax, for the rest of the day.",2023-08-27 15:29:27,28320,2023-08-27 15:29:57
race,81,Yep. Copy.,2023-08-27 15:30:00,5002,2023-08-27 15:29:56
race,1,"That might be a problem, yeah.",2023-08-27 15:29:53,5301,2023-08-27 15:29:56
race,40,"You did all the right things today. I will review the details for next time. Yeah, for sure. But to be honest, I started to get a bit more of a feeling on the soft when I got clean now. That medium set I didn't feel very comfortable on, but I started to get more of an understanding on that soft. Yeah, I copy that. And we wanted to try something on the medium because there was not too much to lose. But yeah, the soft was a good compound.",2023-08-27 15:29:16,35658,2023-08-27 15:29:54
race,81,"Okay, so box this lap and when you get to Parc fermé to the FIA, you extend the car pulley off, switch off the engine, wait 5 and then turn pulley off.",2023-08-27 15:29:50,11274,2023-08-27 15:29:53
