session_type,driver_number,transcription,player_ts,duration_ms,inserted_at
race,55,"Castile DLP, 0.",2023-09-03 14:41:39,5365,2023-09-03 14:41:45
race,18,"OK, Lance, if you copy on the radio, P0 reminder, P0.",2023-09-03 14:41:34,7328,2023-09-03 14:41:41
race,40,"OK, when you stop the car, it will be P1 then P0, please. P0. Full switch off.",2023-09-03 14:41:18,9802,2023-09-03 14:41:28
race,55,"MP 0 if you're still there.",2023-09-03 14:41:20,6048,2023-09-03 14:41:27
race,55,Plan B is 0.,2023-09-03 14:41:05,5514,2023-09-03 14:41:10
race,77,"And when you come to a stop, we will need the full switch-off procedure.",2023-09-03 14:40:54,7605,2023-09-03 14:41:00
race,24,"Good job. Thanks a lot. And remember, full throttle position.",2023-09-03 14:40:50,9248,2023-09-03 14:40:58
race,77,"OK, so box-box.",2023-09-03 14:40:51,4938,2023-09-03 14:40:55
race,24,"Anyway, thanks for coming back after such a tricky Friday. Let's start much better next time on Thursday.",2023-09-03 14:40:35,16160,2023-09-03 14:40:48
race,77,"Good drive, Valtteri Salessandro. Bravo. Good point.",2023-09-03 14:40:33,7477,2023-09-03 14:40:47
race,18,"Radio check, Lance. Radio check.",2023-09-03 14:40:34,5280,2023-09-03 14:40:39
race,81,"Okay, when you get to the FIA, you need to kill the engine, wait five seconds and then turn the car fully off.",2023-09-03 14:40:21,8714,2023-09-03 14:40:31
race,10,Affirmative. Copy.,2023-09-03 14:40:21,6922,2023-09-03 14:40:28
race,10,"Boris Bottas on one stop, hard medium.",2023-09-03 14:40:13,7114,2023-09-03 14:40:21
race,11,"Okay, so it's into the pitlane and you can leave it in P1.",2023-09-03 14:40:08,6709,2023-09-03 14:40:15
race,24,"Yeah, copy.",2023-09-03 14:40:09,5536,2023-09-03 14:40:13
race,10,"And then, here to P10, what was the... So Verstappen, Perez, Sainz, Leclerc, Russell, Hamilton, Albon, Norris, Alonso and Bottas in P10.",2023-09-03 14:39:52,18144,2023-09-03 14:40:12
race,4,"And as always, normal instructions when you come to a stop.",2023-09-03 14:40:06,6752,2023-09-03 14:40:12
race,40,Copy. Thank you.,2023-09-03 14:40:06,4789,2023-09-03 14:40:12
race,18,"OK, Lance, please out three. And HPP button off.",2023-09-03 14:40:06,7349,2023-09-03 14:40:11
race,40,"OK, it was very close to the point. We'll review everything we've done. Anyway, it was a clean weekend from your side. The pace was there, so we'll keep it up. Good job.",2023-09-03 14:39:52,15114,2023-09-03 14:40:08
race,24,"Sergio, we have Stroll, Lawson and Hamilton and we have Stroll, Gasly behind and Hulkenberg, Magnussen.",2023-09-03 14:39:57,10037,2023-09-03 14:40:06
race,14,Just take the last bit of pick-up.,2023-09-03 14:39:57,6261,2023-09-03 14:40:04
race,55,"And we are in P3 in the championship for constructors. Good. Good, good.",2023-09-03 14:39:51,10250,2023-09-03 14:40:01
race,23,Yeah.,2023-09-03 14:39:57,5002,2023-09-03 14:40:00
race,23,I think we can add Norris to the list of people that hate the sight of our rear winger.,2023-09-03 14:39:51,6986,2023-09-03 14:39:58
race,11,Oh my goodness.,2023-09-03 14:39:53,4810,2023-09-03 14:39:57
race,18,"OK, Lance, we need L3 and HPP button off, please.",2023-09-03 14:39:48,6794,2023-09-03 14:39:57
race,10,"Painful one. Very painful. But it's okay, we'll understand and just really want us to understand why we're so slow and we'll try it back, but we've got to understand the most important. Hard to try with the strategy, so no regrets. Now we move on from this weekend and we come back strong in Singapore and go fight for the points. Yep, we had to try something. It was a tough one out there, but well driven and we'll look forward from here. So Verstappen won the race from Perez and Sainz in third.",2023-09-03 14:39:05,45920,2023-09-03 14:39:56
race,11,"Well done, guys. Well deserved. Excellent weekend from all the boys. I made them work a little bit too much this weekend. But well done, guys. Let's keep it up. Let's keep it up. A lot to go. I think Nick's going to take you on a night out in Sheffield now.",2023-09-03 14:39:32,20298,2023-09-03 14:39:55
race,77,"So we have Verstappen winning the race from Perez in P2, then Sainz, Leclerc, Russell, Hamilton, Albon in P7, then Norris, Alonso and yourself. Perfect.",2023-09-03 14:39:37,16394,2023-09-03 14:39:53
race,24,"Copy, Zhou. So Verstappen won, Perez second, then Sainz, Leclerc, Russell, Hamilton, Albon 7, then Norris 8, Alonso 9, and Valtteri 10. It's hard to also jump. Copy? It's hard to also jump. I was racing. Like all the time I was racing. They all jump on the tyres, so... Such a finish, P12.",2023-09-03 14:39:20,29770,2023-09-03 14:39:49
race,44,"Your P6. Alonso, finish P9.",2023-09-03 14:39:37,5365,2023-09-03 14:39:43
race,44,"So there's finishing orders for Verstappen, Perez, Sainz, Leclerc, George, P5 or P6.",2023-09-03 14:39:31,8288,2023-09-03 14:39:42
race,18,"That's P16, Lance. P16. Bottas ended up 10th. Fernando ended up in 9th.",2023-09-03 14:39:31,9162,2023-09-03 14:39:39
race,81,"Pace was good, Oscar. We deserved more than that, to be honest. Hamilton got a penalty, but he managed to get through Albon and Lando and pull more than the five seconds of the penalty. So the finishing order was Verstappen, Perez, Sainz, Leclerc, Russell, Hamilton, Albon, Lando, Alonso, Bottas.",2023-09-03 14:39:17,21792,2023-09-03 14:39:39
race,11,"I can't imagine. Yeah, the Bulls beat the Prancing Horse Checo, so that looks a pretty decent shot to us. So, well done. Thank you.",2023-09-03 14:39:22,12320,2023-09-03 14:39:36
race,55,You can go in the pitlane and stop in P3 and join the podium. Thank you.,2023-09-03 14:39:26,11082,2023-09-03 14:39:36
race,40,"Yeah, I copy. Copy. And I confirm Piastri 5 seconds, so that's P11.",2023-09-03 14:39:24,9034,2023-09-03 14:39:34
race,18,"So, Lance, out three. Out three. And HPP button off. HPP button off.",2023-09-03 14:39:22,10997,2023-09-03 14:39:34
race,2,"Well done, Logan. Tough bike today out there. You held your own for a long, long period of time. You're still, still, that point has you enabled. It's not far away. We'll get more opportunity this year.",2023-09-03 14:39:18,13109,2023-09-03 14:39:31
race,1,"Well, the Bulls beat the Prancing Horse, so well done to both of you, both done a mega job today. Yeah, really good team results.",2023-09-03 14:39:14,14197,2023-09-03 14:39:29
race,20,"OK, but it's the usual story when you come to a stop, please. So, P2 to P1, a pause, and then P0, please.",2023-09-03 14:39:16,12512,2023-09-03 14:39:28
race,40,"OK, good day for today and we will review everything.",2023-09-03 14:39:17,7626,2023-09-03 14:39:25
race,11,That was pretty stunning on TV.,2023-09-03 14:39:18,5045,2023-09-03 14:39:24
race,55,"Verstappen and then Checo 7.7, and behind you, point 4, Charles, then Russell P5 and Hamilton P6, Albon P7, Lando P8, Fernando P9 and Bottas P10.",2023-09-03 14:39:00,22133,2023-09-03 14:39:24
race,24,"Copy. Did he want one stop, yeah? Yeah. Confirmed. Yeah, we followed the loss undercut. It was tricky with the tyre management afterwards.",2023-09-03 14:39:04,18442,2023-09-03 14:39:22
race,2,"Blue, 1.40. Blue, 1.40.",2023-09-03 14:39:12,6474,2023-09-03 14:39:19
race,77,"And for info, Sargeant was awarded a five-second penalty for... Copy.",2023-09-03 14:39:08,8266,2023-09-03 14:39:18
race,63,"So final classification was Verstappen, Perez, Sainz and Leclerc battling with each other at the end there. Yourself, then Lewis got himself back up to P6 ahead of Albon and Norris.",2023-09-03 14:38:56,18314,2023-09-03 14:39:15
race,40,"He passed me completely off the track. Yeah, Logan clear. Super, super clear.",2023-09-03 14:39:04,8266,2023-09-03 14:39:13
race,14,"Well done, mate. Fighting to the end. Well done.",2023-09-03 14:38:13,5962,2023-09-03 14:39:11
race,2,"What's green one?",2023-09-03 14:39:04,6048,2023-09-03 14:39:11
race,81,"White H11, position 13.",2023-09-03 14:39:04,8095,2023-09-03 14:39:10
race,4,Exactly. Good job this weekend. Very good race today on your side as well. And I think you extracted the most of the car today. I think Albon would just leave it too fast on the straight for us.,2023-09-03 14:38:52,13408,2023-09-03 14:39:09
race,18,HPB button off for now. Three.,2023-09-03 14:39:00,6218,2023-09-03 14:39:06
race,2,"Congrats. Good job, guys.",2023-09-03 14:39:00,5920,2023-09-03 14:39:05
race,10,"Yeah, it's okay, it doesn't really matter.",2023-09-03 14:38:59,5514,2023-09-03 14:39:05
race,24,"Yeah, tough race, Joe. Valtteri finish P10.",2023-09-03 14:38:55,9525,2023-09-03 14:39:04
race,10,We get scenario 12.,2023-09-03 14:38:56,5152,2023-09-03 14:39:01
race,77,"Yeah, it's been a tough two weeks, but it's really good to end it on a high now before we go away to the overseas.",2023-09-03 14:38:53,8266,2023-09-03 14:39:01
race,2,"Okay, that's checkered flag. Checkered flag. Take the flag. Please pick up rubber. And green 1, position 14, please. Green 1, position 14. That's P13. Hard to fight these guys on fresh rubber at the end. I can review the usage of overtakes, but I'm sure you did give everything you could, mate. Just so you know, I like P7.",2023-09-03 14:38:32,27466,2023-09-03 14:39:00
race,40,"OK, Liam, that's P12 and we'll see what happens with Piastri.",2023-09-03 14:38:54,8202,2023-09-03 14:39:00
race,14,"Yeah. Yeah, I confirm.",2023-09-03 14:38:53,6069,2023-09-03 14:39:00
race,44,"HBP1, position 14. Strat mode 1.",2023-09-03 14:38:51,5642,2023-09-03 14:38:59
race,10,"And that's the chequered flag, P16. P15, apologies, we've got race watch issue.",2023-09-03 14:38:46,11680,2023-09-03 14:38:58
race,23,"I just need a switch change. Blue 1, position 14. Blue 1, position 14. 1-4.",2023-09-03 14:38:47,9162,2023-09-03 14:38:55
race,4,"Yeah, good race. I think the pace was actually okay, just too much traffic, too much following. But a big step forward compared to Spa, so I think we did a good job this weekend more than everyone.",2023-09-03 14:38:35,18016,2023-09-03 14:38:54
race,24,"Over the line, over the line. Mode end, mode end.",2023-09-03 14:38:46,7050,2023-09-03 14:38:53
race,77,"Cheers, guys. Good to get a point, even though it's only one. It's much better than nothing. Well done, everyone. Good recovery from Friday.",2023-09-03 14:38:38,11658,2023-09-03 14:38:49
race,44,"Lewis, great execution. That was really a good drive to bring it home with the points.",2023-09-03 14:38:38,8352,2023-09-03 14:38:49
